"respondent_id","report_yr","report_prd","spplmnt_num","row_num","avail_cap","plan_outage","unplan_outage","other_outage","tot_net","ex_avail_cap","ex_not_avail","tot_capability","avail_cap_f","plan_outage_f","unplan_outage_f","other_outage_f","tot_net_f","ex_avail_cap_f","ex_not_avail_f","tot_capability_f"
234,2006,12,0,700,"9516","163","316","0","9995","-26","0","9969",0,0,0,0,0,0,0,0
234,2006,12,0,800,"9405","163","980","0","10548","19","0","10567",0,0,0,0,0,0,0,0
234,2006,12,0,900,"9555","322","307","0","10184","-8","0","10176",0,0,0,0,0,0,0,0
234,2006,12,0,1000,"8887","1107","277","0","10271","-3","0","10268",0,0,0,0,0,0,0,0
234,2006,12,0,1100,"7808","2163","663","0","10634","28","0","10662",0,0,0,0,0,0,0,0
234,2006,12,0,1200,"9348","961","367","0","10676","-139","0","10537",0,0,0,0,0,0,0,0
161,2006,12,0,100,"1000","0","0","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,200,"1000","0","0","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,300,"1000","0","0","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,400,"833","167","0","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,500,"663","337","0","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,600,"997","0","3","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,700,"996","0","4","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,800,"984","0","16","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,900,"1000","0","0","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,1000,"1000","0","0","0","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,1100,"998","0","0","2","1000","0","0","1000",0,0,0,0,0,0,0,0
161,2006,12,0,1200,"909","0","0","91","1000","0","0","1000",0,0,0,0,0,0,0,0
186,2006,12,0,100,"2568","0","582","0","3150","0","0","3150",0,0,0,0,0,0,0,0
186,2006,12,0,200,"3073","0","77","0","3150","0","0","3150",0,0,0,0,0,0,0,0
186,2006,12,0,300,"2007","1143","0","0","3150","0","0","3150",0,0,0,0,0,0,0,0
186,2006,12,0,400,"2701","275","0","0","2976","0","0","2976",0,0,0,0,0,0,0,0
186,2006,12,0,500,"2701","275","0","0","2976","0","0","2976",0,0,0,0,0,0,0,0
186,2006,12,0,600,"2943","0","33","0","2976","0","0","2976",0,0,0,0,0,0,0,0
186,2006,12,0,700,"2366","0","610","0","2976","0","0","2976",0,0,0,0,0,0,0,0
186,2006,12,0,800,"2522","0","454","0","2976","0","0","2976",0,0,0,0,0,0,0,0
186,2006,12,0,900,"2831","0","145","0","2976","0","0","2976",0,0,0,0,0,0,0,0
186,2006,12,0,1000,"2852","0","124","0","2976","0","0","2976",0,0,0,0,0,0,0,0
186,2006,12,0,1100,"2208","275","493","0","2976","0","0","2976",0,0,0,0,0,0,0,0
186,2006,12,0,1200,"3010","0","158","0","3168","0","0","3168",0,0,0,0,0,0,0,0
178,2006,12,0,100,"1456","177","79","0","1712","0","0","1712",10,11,12,13,14,144,145,15
178,2006,12,0,200,"1273","268","171","0","1712","0","0","1712",16,27,38,49,59,146,157,71
178,2006,12,0,300,"1481","103","128","0","1712","0","0","1712",17,28,39,50,60,147,158,72
178,2006,12,0,400,"1351","330","31","0","1712","0","0","1712",18,30,40,51,62,150,159,73
178,2006,12,0,500,"1585","98","29","0","1712","0","0","1712",19,29,41,52,63,148,160,74
178,2006,12,0,600,"1582","98","32","0","1712","0","0","1712",20,31,43,53,64,149,161,75
178,2006,12,0,700,"1542","129","41","0","1712","0","0","1712",21,32,42,54,65,151,162,76
178,2006,12,0,800,"1662","20","30","0","1712","0","0","1712",22,33,44,55,66,152,163,77
178,2006,12,0,900,"1461","93","158","0","1712","0","0","1712",23,34,45,56,67,153,164,78
178,2006,12,0,1000,"1431","93","188","0","1712","0","0","1712",24,35,46,57,68,154,165,79
178,2006,12,0,1100,"1494","125","93","0","1712","0","0","1712",25,36,48,58,69,155,166,80
178,2006,12,0,1200,"1501","149","67","0","1717","0","0","1717",26,37,47,61,70,156,167,81
244,2006,12,0,100,"4565","929","0","0","5494","1522","0","7016",2,0,0,0,0,0,0,0
